molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,bioactivity_class,group_type,MW,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,violates_mw,violates_logp,violates_hdonors,violates_hacceptors,ro5_violations
CHEMBL268868,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,AAALVYBICLMAMA-UHFFFAOYSA-N,6.52,active,single_entry,329.35900000000004,4.057400000000001,3.0,4.0,70.23,4.0,False,False,False,False,0
CHEMBL2029442,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(c1cccc(N)c1)C(=O)N(C)C2,AAFHSECTTHOVFV-UHFFFAOYSA-N,6.32,active,single_entry,474.5690000000003,3.266300000000001,2.0,8.0,103.08999999999999,5.0,False,False,False,False,0
CHEMBL2048906,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,AAGKMGNYUYCEPD-UHFFFAOYSA-N,8.54,active,single_entry,478.9650000000002,5.366400000000003,2.0,8.0,93.96000000000001,7.0,False,True,False,False,1
CHEMBL5757238,C=CC(=O)Nc1cc(Nc2nccc(-c3cnc4c(ccn4C)c3)n2)c(OC)cc1N(C)CCN(C)C,AAGOVSWSOCZTHE-UHFFFAOYSA-N,8.505,active,nonzero_sd,500.6070000000003,3.9048000000000025,2.0,9.0,100.44,10.0,True,False,False,False,1
CHEMBL1240554,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,AAHKGRWRYBCWDL-UHFFFAOYSA-N,5.85,intermediate,single_entry,353.4260000000001,3.597900000000002,1.0,7.0,88.08,5.0,False,False,False,False,0
CHEMBL5994000,CN1Cc2cccc([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)F)CC4)NN3)c2C1=O,AAKINVLWVHDFDQ-MHZLTWQESA-N,7.72,active,single_entry,607.109,5.9205800000000055,4.0,8.0,108.35,8.0,True,True,False,False,2
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,7.428,active,nonzero_sd,393.4430000000002,3.405100000000002,1.0,7.0,74.73000000000002,10.0,False,False,False,False,0
CHEMBL595757,COc1ccccc1C(Cc1coc2nc(N)nc(N)c12)C(C)C,AALMZTNNZVHOAS-UHFFFAOYSA-N,4.74,inactive,single_entry,326.40000000000003,3.3781000000000008,2.0,6.0,100.19,5.0,False,False,False,False,0
CHEMBL3741026,C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)C(C)c4ccc(CC(C)C)cc4)c(OCCOC)cc23)c1,AALSIMHTWOFTTB-UHFFFAOYSA-N,8.05,active,single_entry,567.6860000000003,6.304100000000006,1.0,8.0,91.80000000000001,14.0,True,True,False,False,2
CHEMBL3758758,COC(=O)c1ccc(OC)c(-c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)c1,AARBVSHAOOSSTN-CQSZACIVSA-N,8.15,active,single_entry,419.5060000000001,5.3266000000000036,1.0,7.0,73.34,6.0,False,True,False,False,1
CHEMBL5218990,COc1cc2ncnc(Sc3cccc(NC(=S)Nc4ccc(Br)c(C(F)(F)F)c4)c3)c2cc1OC,AARRKLWESWJSEE-UHFFFAOYSA-N,8.0,active,single_entry,595.466,7.388400000000003,2.0,6.0,68.30000000000001,6.0,True,True,False,False,2
CHEMBL5984505,Cc1cccc(Nc2nc(Nc3cccc(NC(=O)/C=C/CN4CC5CC4CN5)c3)ncc2F)c1,AASJSIBMAXVMRQ-RUDMXATFSA-N,6.76,active,nonzero_sd,473.55600000000027,3.9521200000000016,4.0,7.0,94.21000000000001,8.0,False,False,False,False,0
CHEMBL354033,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,AATOPLAJLQECRD-UHFFFAOYSA-N,5.57,intermediate,single_entry,295.34600000000006,1.9204999999999997,3.0,6.0,88.99000000000001,2.0,False,False,False,False,0
CHEMBL1947123,COc1cc2ncc(C(=O)O)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,AAVGHUCVRHUVEM-UHFFFAOYSA-N,5.03,intermediate,single_entry,376.77100000000013,4.486300000000003,2.0,5.0,80.68,5.0,False,False,False,False,0
CHEMBL5761246,C=CC(=O)N1CCC2CN(c3nc(Nc4cnn(C)c4)c4c(c3F)CNC4=O)CC21,AAXFDDOSGVAGJZ-UHFFFAOYSA-N,5.83,intermediate,single_entry,411.4410000000002,1.1642999999999994,2.0,7.0,95.39000000000001,4.0,False,False,False,False,0
CHEMBL1173813,Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,AAXJTXUUVCETME-UHFFFAOYSA-N,6.47,active,single_entry,323.46500000000003,4.006560000000002,1.0,2.0,41.62,2.0,False,False,False,False,0
CHEMBL5775095,Nc1ncnc2c1c(-c1ccc(CNC(=O)c3cc4ccccc4[nH]3)cc1)nn2C1CCCC1,ABAPXGKEVNECFX-UHFFFAOYSA-N,5.26,intermediate,single_entry,451.5340000000002,4.601900000000003,3.0,6.0,114.50999999999999,5.0,False,False,False,False,0
CHEMBL30973,CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,ABDIOQXDBJMGHB-QPJJXVBHSA-N,6.95,active,nonzero_sd,450.34000000000003,4.668880000000003,2.0,5.0,81.05000000000001,6.0,False,False,False,False,0
CHEMBL6000322,COCCN(C)C/C=C/C(=O)N1CCOc2c1ccc1ncnc(Nc3ccc(Oc4ccn5ncnc5c4)c(C)c3)c21,ABEFFRUFIXRFOH-SNAWJCMRSA-N,6.56,active,single_entry,580.649,4.376620000000003,1.0,11.0,119.24000000000001,10.0,True,False,False,True,2
CHEMBL120979,COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,ABEGFBRZNZWQBS-UHFFFAOYSA-N,8.1,active,single_entry,366.81200000000007,4.502100000000002,3.0,6.0,87.75,5.0,False,False,False,False,0
CHEMBL4077228,CCC(=O)Nc1cccc(-c2c[nH]c3nccc(-c4[nH]c(CCCO)nc4-c4ccc(F)cc4)c23)c1,ABEGTFCLSXRJQE-UHFFFAOYSA-N,5.89,intermediate,nonzero_sd,483.54700000000025,5.699500000000005,4.0,4.0,106.69,8.0,False,True,False,False,1
CHEMBL4778502,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-n3c(SC)nnc3-c3ccc(F)cc3)ccn2)c1,ABGXDJDXYCHCQN-UHFFFAOYSA-N,6.79,active,nonzero_sd,476.5370000000001,5.067000000000004,2.0,8.0,93.96000000000001,8.0,False,True,False,False,1
CHEMBL4548481,COc1ccc(OC)c(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)c1,ABHDYLBMXLXCKE-UHFFFAOYSA-N,7.0833,active,nonzero_sd,434.28300000000013,5.188200000000003,3.0,6.0,97.4,6.0,False,True,False,False,1
CHEMBL2031309,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,ABNJTLJOBGFVGE-UHFFFAOYSA-N,8.7,active,single_entry,497.95800000000037,4.702080000000003,2.0,7.0,99.50999999999999,8.0,False,False,False,False,0
