molecule_chembl_id,bioactivity_class
CHEMBL268868,active
CHEMBL2029442,active
CHEMBL2048906,active
CHEMBL5757238,active
CHEMBL5994000,active
CHEMBL553,active
CHEMBL595757,inactive
CHEMBL3741026,active
CHEMBL3758758,active
CHEMBL5218990,active
CHEMBL5984505,active
CHEMBL1173813,active
CHEMBL30973,active
CHEMBL6000322,active
CHEMBL120979,active
CHEMBL4778502,active
CHEMBL4548481,active
CHEMBL2031309,active
CHEMBL5754433,active
CHEMBL603198,inactive
CHEMBL6048747,active
CHEMBL5864012,active
CHEMBL5184539,active
CHEMBL4453748,active
CHEMBL5397557,active
CHEMBL5934357,active
CHEMBL496,active
CHEMBL5837076,active
CHEMBL3950966,active
CHEMBL5284528,active
CHEMBL5746601,active
CHEMBL5094406,active
CHEMBL5882592,active
CHEMBL4278997,active
CHEMBL2346678,active
CHEMBL3740577,active
CHEMBL1243345,active
CHEMBL2048794,active
CHEMBL3133910,inactive
CHEMBL4284841,active
CHEMBL4467561,active
CHEMBL5404799,active
CHEMBL5173449,active
CHEMBL5281748,active
CHEMBL5277739,active
CHEMBL328216,active
CHEMBL5812290,inactive
CHEMBL3914227,active
CHEMBL3663923,active
CHEMBL5512543,active
CHEMBL47660,inactive
CHEMBL184682,active
CHEMBL4066141,active
CHEMBL3628800,active
CHEMBL4566583,active
CHEMBL340484,active
CHEMBL214419,active
CHEMBL5994478,active
CHEMBL1929314,inactive
CHEMBL1203936,active
CHEMBL5194722,active
CHEMBL4101774,active
CHEMBL5939261,active
CHEMBL324030,inactive
CHEMBL4063067,active
CHEMBL5863443,active
CHEMBL5084760,active
CHEMBL1173718,active
CHEMBL5523403,active
CHEMBL5884300,active
CHEMBL5417219,active
CHEMBL4074726,inactive
CHEMBL5947149,active
CHEMBL6246,active
CHEMBL5429694,active
CHEMBL3651854,active
CHEMBL5741835,active
CHEMBL3088219,active
CHEMBL5860281,active
CHEMBL1641991,inactive
CHEMBL5834450,active
CHEMBL4563683,active
CHEMBL249511,active
CHEMBL4445761,active
CHEMBL1241774,inactive
CHEMBL3092312,active
CHEMBL5523558,inactive
CHEMBL3759929,active
CHEMBL2031302,active
CHEMBL1094808,inactive
CHEMBL94123,active
CHEMBL2347968,active
CHEMBL3970063,inactive
CHEMBL3671564,active
CHEMBL251125,active
CHEMBL441083,active
CHEMBL5890676,active
CHEMBL4080424,active
CHEMBL3893128,active
CHEMBL4076854,active
CHEMBL307026,active
CHEMBL3699592,active
CHEMBL3925158,active
CHEMBL5084983,active
CHEMBL276154,active
CHEMBL27685,active
CHEMBL4578466,active
CHEMBL3975598,active
CHEMBL5173070,active
CHEMBL5748931,active
CHEMBL5415196,active
CHEMBL3545311,active
CHEMBL5787019,active
CHEMBL5953516,active
CHEMBL4537790,active
CHEMBL4215076,active
CHEMBL3805584,active
CHEMBL5205097,active
CHEMBL5791105,active
CHEMBL2029440,active
CHEMBL4205869,inactive
CHEMBL3233772,active
CHEMBL5916523,active
CHEMBL6010206,active
CHEMBL3893810,active
CHEMBL4168235,active
CHEMBL4546122,active
CHEMBL4069229,active
CHEMBL5966296,active
CHEMBL5783967,active
CHEMBL5767212,active
CHEMBL4065300,active
CHEMBL5407309,active
CHEMBL4863836,active
CHEMBL4077349,active
CHEMBL5949598,active
CHEMBL5882302,active
CHEMBL5966165,active
CHEMBL5851491,active
CHEMBL2337369,inactive
CHEMBL5885364,active
CHEMBL6044637,active
CHEMBL5802636,inactive
CHEMBL2425084,active
CHEMBL5646626,active
CHEMBL5956271,active
CHEMBL3233795,active
CHEMBL4078973,active
CHEMBL2032376,active
CHEMBL5837440,active
CHEMBL5749572,active
CHEMBL6047255,active
CHEMBL6060196,active
CHEMBL3622658,active
CHEMBL3775112,active
CHEMBL1929306,inactive
CHEMBL2029435,active
CHEMBL470010,active
CHEMBL5902883,active
CHEMBL3911796,active
CHEMBL50647,active
CHEMBL5286373,active
CHEMBL1929307,inactive
CHEMBL5774764,inactive
CHEMBL3092313,active
CHEMBL5790363,active
CHEMBL5903567,active
CHEMBL5741542,active
CHEMBL5195904,active
CHEMBL4084726,active
CHEMBL338215,active
CHEMBL4105392,active
CHEMBL3671539,active
CHEMBL503418,active
CHEMBL5856597,active
CHEMBL3087204,active
CHEMBL3087205,active
CHEMBL5764550,active
CHEMBL5887361,active
CHEMBL219557,active
CHEMBL2381506,active
CHEMBL125568,active
CHEMBL5434495,active
CHEMBL5970552,active
CHEMBL5763826,active
CHEMBL4287401,active
CHEMBL3436359,active
CHEMBL123046,inactive
CHEMBL4087570,active
CHEMBL5169349,active
CHEMBL5561729,active
CHEMBL4074601,active
CHEMBL5284701,active
CHEMBL5273261,active
CHEMBL5831214,active
CHEMBL5878820,active
CHEMBL128468,active
CHEMBL4084996,active
CHEMBL5981415,active
CHEMBL4793639,active
CHEMBL5867445,active
CHEMBL591288,active
CHEMBL246073,active
CHEMBL3818015,active
CHEMBL402294,active
CHEMBL185686,active
CHEMBL5872256,active
CHEMBL5963322,active
CHEMBL1821887,inactive
CHEMBL5089073,active
CHEMBL296377,active
CHEMBL166255,active
CHEMBL3941823,active
CHEMBL4794073,active
CHEMBL5082074,active
CHEMBL5861126,active
CHEMBL4560187,active
CHEMBL5203195,active
CHEMBL4782900,active
CHEMBL5796454,active
CHEMBL4091569,active
CHEMBL5786207,active
CHEMBL6036892,active
CHEMBL5846455,active
CHEMBL3360603,active
CHEMBL5962943,active
CHEMBL3676344,active
CHEMBL5563672,active
CHEMBL115745,active
CHEMBL5209075,active
CHEMBL5766704,active
CHEMBL5199520,active
CHEMBL3903641,active
CHEMBL2426279,active
CHEMBL6011434,active
CHEMBL2325099,active
CHEMBL5854207,active
CHEMBL5266649,active
CHEMBL3954684,active
CHEMBL348554,inactive
CHEMBL2347963,active
CHEMBL123189,active
CHEMBL5840248,active
CHEMBL138125,active
CHEMBL4474073,active
CHEMBL306732,active
CHEMBL472545,active
CHEMBL5777803,active
CHEMBL4752843,active
CHEMBL3962365,active
CHEMBL5747733,active
CHEMBL1095445,inactive
CHEMBL4783641,active
CHEMBL3764589,active
CHEMBL473437,active
CHEMBL4780058,active
CHEMBL5840400,active
CHEMBL6009993,active
CHEMBL2031306,active
CHEMBL2283256,inactive
CHEMBL188522,active
CHEMBL170438,inactive
CHEMBL3897363,active
CHEMBL5974959,active
