molecule_chembl_id,pchembl_value
CHEMBL268868,6.52
CHEMBL2029442,6.32
CHEMBL2048906,8.54
CHEMBL5757238,8.505
CHEMBL1240554,5.85
CHEMBL5994000,7.72
CHEMBL553,7.428
CHEMBL595757,4.74
CHEMBL3741026,8.05
CHEMBL3758758,8.15
CHEMBL5218990,8.0
CHEMBL5984505,6.76
CHEMBL354033,5.57
CHEMBL1947123,5.03
CHEMBL5761246,5.83
CHEMBL1173813,6.47
CHEMBL5775095,5.26
CHEMBL30973,6.95
CHEMBL6000322,6.56
CHEMBL120979,8.1
CHEMBL4077228,5.89
CHEMBL4778502,6.79
CHEMBL4548481,7.0833
CHEMBL2031309,8.7
CHEMBL5754433,7.4
CHEMBL603198,4.25
CHEMBL6048747,6.41
CHEMBL5864012,6.995
CHEMBL3612599,5.82
CHEMBL1822063,5.33
CHEMBL5184539,8.145
CHEMBL4453748,7.19
CHEMBL5993343,5.47
CHEMBL5397557,9.0
CHEMBL5934357,7.26
CHEMBL496,6.13
CHEMBL5837076,8.4
CHEMBL3950966,7.985
CHEMBL5284528,6.06
CHEMBL5746601,6.9717
CHEMBL5850413,5.92
CHEMBL5094406,7.61
CHEMBL5882592,8.52
CHEMBL4278997,6.98
CHEMBL2346678,7.175
CHEMBL3740577,6.0867
CHEMBL3604939,5.59
CHEMBL3741762,5.655
CHEMBL3814021,5.655
CHEMBL5201128,5.19
CHEMBL590525,5.12
CHEMBL1243345,8.37
CHEMBL2048794,7.68
CHEMBL3133910,4.12
CHEMBL4284841,6.97
CHEMBL4467561,7.81
CHEMBL5404799,8.35
CHEMBL5173449,6.91
CHEMBL5281748,7.89
CHEMBL5277739,9.09
CHEMBL328216,9.505
CHEMBL5812290,4.98
CHEMBL3914227,7.34
CHEMBL3663923,8.94
CHEMBL1614712,5.26
CHEMBL5512543,6.08
CHEMBL47660,5.0
CHEMBL184682,6.0
CHEMBL3604915,5.85
CHEMBL4066141,6.44
CHEMBL5964825,5.62
CHEMBL3628800,6.23
CHEMBL4566583,6.59
CHEMBL340484,8.31
CHEMBL214419,7.04
CHEMBL5994478,8.06
CHEMBL1929314,4.58
CHEMBL1203936,7.7
CHEMBL5194722,7.5775
CHEMBL4101774,7.66
CHEMBL5939261,8.35
CHEMBL324030,4.925
CHEMBL4063067,6.38
CHEMBL5863443,7.185
CHEMBL1828864,5.66
CHEMBL5084760,8.18
CHEMBL1173718,6.21
CHEMBL5523403,6.83
CHEMBL5884300,8.15
CHEMBL5417219,7.58
CHEMBL4074726,4.13
CHEMBL5947149,6.52
CHEMBL6246,6.16
CHEMBL5429694,6.08
CHEMBL3651854,6.02
CHEMBL5741835,9.31
CHEMBL3088219,6.37
CHEMBL5860281,9.31
CHEMBL169757,5.91
CHEMBL1641991,4.68
CHEMBL5834450,6.19
CHEMBL4563683,7.82
CHEMBL249511,6.48
CHEMBL4210744,5.2867
CHEMBL4445761,6.0
CHEMBL1241774,4.75
CHEMBL3092312,6.33
CHEMBL5523558,4.06
CHEMBL3759929,8.3
CHEMBL5979972,5.8333
CHEMBL2031302,9.74
CHEMBL2316153,5.34
CHEMBL1094808,4.04
CHEMBL94123,6.67
CHEMBL2347968,6.505
CHEMBL4074615,5.6
CHEMBL3970063,4.35
CHEMBL3671564,6.16
CHEMBL292323,5.19
CHEMBL4474429,5.55
CHEMBL251125,8.74
CHEMBL441083,6.04
CHEMBL5890676,7.16
CHEMBL4080424,7.68
CHEMBL3893128,7.3
CHEMBL4076854,8.16
CHEMBL307026,6.24
CHEMBL3699592,7.7
CHEMBL3925158,6.94
CHEMBL5084983,6.7067
CHEMBL276154,8.0
CHEMBL27685,8.535
CHEMBL4578466,7.04
CHEMBL3975598,6.21
CHEMBL5173070,6.665
CHEMBL5748931,7.68
CHEMBL6030089,5.26
CHEMBL5415196,6.865
CHEMBL3545311,7.7055
CHEMBL5787019,8.3
CHEMBL5953516,8.7
CHEMBL4537790,9.435
CHEMBL4215076,7.8967
CHEMBL3805584,6.725
CHEMBL5205097,7.91
CHEMBL5791105,6.76
CHEMBL2029440,8.676
CHEMBL4205869,4.9733
CHEMBL3233772,7.535
CHEMBL5916523,8.7
CHEMBL6010206,7.33
CHEMBL3893810,6.23
CHEMBL4168235,8.44
CHEMBL2333164,5.54
CHEMBL4546122,7.28
CHEMBL4069229,6.13
CHEMBL5966296,8.52
CHEMBL5783967,6.57
CHEMBL5767212,8.58
CHEMBL4065300,7.22
CHEMBL5407309,7.5729
CHEMBL4863836,7.1
CHEMBL4077349,6.11
CHEMBL5949598,7.69
CHEMBL4216765,5.44
CHEMBL5882302,8.4
CHEMBL5966165,8.77
CHEMBL4799700,5.79
CHEMBL5851491,8.15
CHEMBL2337369,4.23
CHEMBL5885364,6.86
CHEMBL6044637,8.52
CHEMBL119156,5.035
CHEMBL5802636,4.6033
CHEMBL2425084,7.6
CHEMBL5646626,7.35
CHEMBL5956271,8.52
CHEMBL3233795,8.2
CHEMBL4078973,6.66
CHEMBL2032376,8.702
CHEMBL5837440,6.96
CHEMBL5749572,7.6
CHEMBL6047255,8.15
CHEMBL55204,5.92
CHEMBL6060196,7.75
