feature,bit,mean_abs_shap,description
maccs_98,98,0.1523941467835174,6‑membered heterocycles
maccs_101,101,0.12018158220083623,aromatic amine ArNH2
maccs_138,138,0.08935579507366168,Heteroatom–CH₂– group count >1
maccs_34,34,0.07753868767731377,CH2=A
maccs_131,131,0.06612464642303846,H‑bond donors (OH/NH) count >1
maccs_52,52,0.0644415469940806,NN
maccs_38,38,0.06151239603474178,NC(C)N
maccs_62,62,0.06004797869622559,ring assembly
maccs_84,84,0.0582814077316581,NH2
maccs_115,115,0.057334996700262576,ring
maccs_70,70,0.05646217155922452,Heteroatom–N–heteroatom
maccs_74,74,0.056260410456183664,O adjacent to N (N-O)
maccs_77,77,0.05410505509276352,sulfonamide SO2N
maccs_53,53,0.04966112299944843," Two heteroatoms with H, separated by 4 atoms"
maccs_103,103,0.04853946596444395,CL
maccs_106,106,0.04843830728247849,ester C(=O)O
maccs_75,75,0.04762109510977756,N with exocyclic bond
maccs_42,42,0.046265106265025537,C=S
maccs_95,95,0.04540190667638247,N–A–A–O fragment
maccs_132,132,0.04486798944835164,aromatic O
maccs_136,136,0.04429620004614014,bit_136
maccs_25,25,0.043540846655464344,N in non-aromatic ring
maccs_99,99,0.043489605877058364,aliphatic OH
maccs_93,93,0.04324968775282413,ketone C=O
maccs_79,79,0.04301092184111389,bit_79
maccs_91,91,0.04297608961734091,bit_91
maccs_110,110,0.042578542363932055,NH
maccs_105,105,0.04037232022848661,bit_105
maccs_68,68,0.039608129344400556,bit_68
maccs_22,22,0.038599436744751824,S in ring
maccs_83,83,0.03807439369287931,F
maccs_154,154,0.036790267722224664,acrylamide C=C-C=O-N (EGFR covalent warhead!)
maccs_87,87,0.036693678936068924,bit_87
maccs_82,82,0.03485091321776893,N in aromatic ring
maccs_146,146,0.03407539559942402,bit_146
maccs_149,149,0.03355252127516558,three aromatic rings
maccs_155,155,0.03346085152147074,aromatic N-heterocycle
maccs_144,144,0.03303511651114378,bit_144
maccs_134,134,0.03276176707284225,bit_134
maccs_128,128,0.03258746228493515,ring size > 13
maccs_124,124,0.03246235234787378,ring size > 9
maccs_102,102,0.032422434805483916,bit_102
maccs_104,104,0.03184870013061098,aliphatic amine
maccs_107,107,0.031474287546854184,NH2
maccs_97,97,0.031069735080311404,bit_97
maccs_129,129,0.030146100772639208,bit_129
maccs_72,72,0.028708841290284313,bit_72
maccs_140,140,0.028127410994603527,bit_140
maccs_116,116,0.0280123918135068,aromatic ring
maccs_96,96,0.02796655786084507,bit_96
maccs_133,133,0.027773009797565026,tertiary amine
maccs_100,100,0.027725170048360274,O-O peroxide
maccs_141,141,0.027451826525680824,H-bond acceptor count > 1
maccs_152,152,0.027092661652344228,bit_152
maccs_46,46,0.02628878232183697,bit_46
maccs_94,94,0.026227722020345394,bit_94
maccs_81,81,0.02595088002464712,bit_81
maccs_160,160,0.025927619543628107,N in 6-membered ring
maccs_150,150,0.025871868530969684,C with 4 bonds to C
maccs_126,126,0.025488086987261148,ring size > 11
maccs_159,159,0.023922994270190453,bit_159
maccs_92,92,0.02388115235750326,Br
maccs_117,117,0.02372180291506966,H-bond acceptor (N or O)
maccs_112,112,0.022927227143564776,bit_112
maccs_111,111,0.022418513772168053,H-bond donor (OH or NH)
maccs_90,90,0.02234920395723043,bit_90
maccs_86,86,0.022212654629449782,ether C-O-C
maccs_113,113,0.022046286622164166,bit_113
maccs_109,109,0.021792860711728885,bit_109
maccs_54,54,0.021535391657035673,bit_54
maccs_114,114,0.020874550015023984,carbonyl C=O
maccs_127,127,0.02077592662190472,ring size > 12
maccs_66,66,0.02036159732742262,bit_66
maccs_118,118,0.020240301380711857,ring system
maccs_57,57,0.019682849527684787,bit_57
maccs_147,147,0.01940081696638979,bit_147
maccs_85,85,0.018835811490301016,bit_85
maccs_122,122,0.01832422523205948,ring size > 7
maccs_41,41,0.018181459776191154,bit_41
maccs_47,47,0.017768337364655985,bit_47
maccs_153,153,0.01752804602861832,C=C-C=O conjugated
maccs_108,108,0.017135135183852464,bit_108
maccs_157,157,0.015693010167705697,bit_157
maccs_37,37,0.015582206821142298,bit_37
maccs_88,88,0.015195380863135665,bit_88
maccs_69,69,0.014870524310592511,bit_69
maccs_36,36,0.014851028005052733,bit_36
maccs_139,139,0.014136636945256442,C=C
maccs_148,148,0.013383529980735966,two aromatic rings
maccs_64,64,0.01326562713477078,bit_64
maccs_80,80,0.013201718998672273,bit_80
maccs_89,89,0.012094610647399086,bit_89
maccs_135,135,0.011679908938014868,CH2 aliphatic
maccs_130,130,0.011506893306294664,aromatic N
maccs_164,164,0.011343141632337897,C in ring
maccs_76,76,0.01092507290068836,bit_76
maccs_51,51,0.010125417235458699,bit_51
maccs_123,123,0.009416894416135078,ring size > 8
maccs_55,55,0.00869628938532831,bit_55
maccs_151,151,0.007958080779207276,bit_151
maccs_120,120,0.0074429554065238365,ring size > 5
maccs_59,59,0.007297169284426549,bit_59
maccs_78,78,0.006211374137518875,bit_78
maccs_119,119,0.005246951952727518,ring size > 4
maccs_45,45,0.004894697419746837,bit_45
maccs_24,24,0.004454636541623362,SH group
maccs_65,65,0.0032901966194601503,multiple bonds in ring
maccs_67,67,0.003101835358101819,nitrile C#N
maccs_73,73,0.002355349368716406,bit_73
maccs_71,71,0.0015851875872276908,nitrogen heterocycle
maccs_61,61,0.00088958755926161,bit_61
maccs_60,60,0.0,bit_60
maccs_58,58,0.0,bit_58
maccs_143,143,0.0,bit_143
