compound,predicted_pchembl,experimental_pchembl,max_tanimoto_to_train,inside_AD,predicted_class,smiles
CHEMBL248221,7.823,7.28,0.916,True,active,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCN1CCOCC1
CHEMBL6160966,7.792,5.88,0.652,True,active,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3cccc(NC(=O)c4cccc(O)c4CN4Cc5ccccc5C4=O)c3)ccn2)c1
CHEMBL6159659,7.737,6.09,0.644,True,active,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3cccc(NC(=O)c4ccccc4CN4Cc5ccccc5C4=O)c3)ccn2)c1
CHEMBL4207425,7.706,6.79,1.0,True,active,C=CC(=O)N[C@@H]1CCN(c2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL4211782,7.634,8.52,0.75,True,active,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(CCN(C)C)c3)nc3[nH]ccc23)c1
CHEMBL4068763,7.467,8.41,0.714,True,active,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(Nc4cccc(F)c4)ccc23)c(OC)cc1N(C)CCN(C)C
CHEMBL4206604,7.174,6.79,0.83,True,active,CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL3781993,7.131,8.4,0.36,False,active,CN1CCN(c2ccc(NC(=O)c3c(Nc4ccnc(N)n4)cc[nH]c3=O)cc2)CC1
CHEMBL4203072,7.084,6.74,1.0,True,active,C=CC(=O)N[C@@H]1CCN(c2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C1
CHEMBL4216749,7.026,8.7,0.475,True,active,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(CCN(C)C)c3)nc3[nH]ccc23)c1F
